fire_id,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day,alarm_date,cont_date,burn_duration,fire_area_m2,fire_area_m2_exclude_unchanged,prop_ypmc,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation,prop_unchanged,prop_low,prop_mod,prop_high,max_patch_m2_unchanged,max_patch_m2_low,max_patch_m2_mod,max_patch_m2_high,sdc,june2008fire,survived_ia,comparison_cat,dowy,simultaneous_fires
00004cc33b4ede4c9e3f,1,CA,USF,TNF,AMERICAN,00000000,1,NA,21,28.0375843048096,NA,suppression,00000009,11.3464079632592,0,164,1984,5,28,1984,5,29,1984-05-28,1984-05-29,1,143100,44100,1,0.5420171807771959,0.02615844537416157,8.473298072814941,1.3163390159606934,53.38750457763672,3.911707878112793,7.678623199462891,1448.119496855346,0.6918238993710691,0.18867924528301888,0.11949685534591195,0,96300,6300,11700,0,NA,no,0,died_ia,241,1
0000024c773a0175fcff,1,CA,USF,PNF,NA,00000000,7,NA,116,108.141479492188,8,suppression,00000017,43.7633052404945,0,622,1984,5,29,1984,5,31,1984-05-29,1984-05-31,2,482400,318600,0.9776119402985075,0.484188059150283,0.043892806112668964,8.147289276123047,1.7180215120315552,58.141056060791016,4.523510932922363,6.192919731140137,1364.8171641791046,0.33955223880597013,0.17723880597014927,0.11380597014925373,0.3694029850746269,119700,21600,19800,177300,0.0078163759654596935,no,1,survived_ia,242,3
000096120dae7665315a,1,CA,USF,PNF,NA,00000000,7,NA,116,21.7968063354492,8,suppression,00000018,8.82085485208336,0,131,1984,5,29,1984,5,30,1984-05-29,1984-05-30,1,108900,1800,1,0.40346962804636677,0.04050343429808283,8.779773712158205,1.9679050445556643,58.55516815185547,4.917811870574952,8.490180969238281,1164.5289256198348,0.9834710743801653,0.01652892561983471,0,0,107100,900,0,0,NA,no,0,died_ia,242,3
000008a9a6039567933a,1,CA,NPS,KNP,PARLOR,00000000,1,NA,110,199.567810058594,8,wfu,00005847,80.7622268194967,0,458,1984,6,30,1984,8,10,1984-06-30,1984-08-10,41,932400,497700,0.3812741312741313,0.31948270273312174,0.04054340938983564,8.257508277893066,1.2453052997589111,65.87763977050781,1.8853156566619873,2.5816469192504883,2613.3233590733594,0.46621621621621623,0.28378378378378377,0.24034749034749034,0.009652509652509652,289800,36900,166500,4500,0.05387743357766434,no,NA,wfu,274,1
000052e0539864483845,1,CA,USF,SQF,BODFISH,00000000,5,NA,NA,26708.99609375,8,suppression,00000078,10808.7474769311,0,8659,1984,7,7,1984,7,14,1984-07-07,1984-07-14,7,109242e3,73719e3,0.05905420991926182,0.3367219072162447,0.03004788033030493,6.124522718842683,3.071465659593314,82.68220776117778,4.1480472225159986,10.658871569132998,1412.067803592025,0.3251771296753996,0.20886472235953205,0.3432361179766024,0.12272202998846597,10782e3,3680100,18622800,2388600,0.014514993806328317,no,1,survived_ia,281,2
00003f44ab2db1ada409,1,CA,USF,STF,PIUTE,NA,1,20090305,100,98.6262130737305,6,suppression,00000038,39.912612542929,0,103,1984,7,16,1984,10,11,1984-07-16,1984-10-11,87,462600,210600,0.18482490272373542,0.4013682270154415,0.05137692630319975,7.655290972861797,1.2459150093538751,67.46802283261073,1.9715405196995124,1.7397626026131299,2490.3190661478598,0.5447470817120622,0.26653696498054474,0.11673151750972763,0.07198443579766536,211500,25200,43200,30600,0.01861611501394382,no,1,survived_ia,290,2
0000c5fc4a718fe1c6a4,1,CA,NPS,KNP,CABIN,00000000,1,NA,35,32.9206809997559,8,suppression,00005775,13.3225264466932,0,183,1984,8,18,1984,10,18,1984-08-18,1984-10-18,61,158400,43200,1,0.4752773179418662,0.06757823062467981,10.877204895019531,0.8586468696594238,60.134422302246094,1.5063889026641846,1.521153450012207,2414.568181818182,0.7272727272727273,0.23295454545454544,0.03977272727272727,0,115200,21600,2700,0,NA,no,1,survived_ia,323,2
000045c6ca0d72cec09a,1,CA,USF,PNF,NA,00000000,9,NA,90,67.9620361328125,8,suppression,00000109,27.5032591961256,0,250,1984,8,19,1984,8,20,1984-08-19,1984-08-20,1,330300,196200,0.5858310626702997,0.6800268339526101,0.03522600894108699,7.824535846710205,2.110682249069214,75.02326202392578,2.7543067932128906,6.2202372550964355,832.5722070844686,0.40599455040871935,0.22070844686648503,0.3106267029972752,0.06267029972752043,72900,21600,64800,9e3,0.04160334871777351,no,0,died_ia,324,3
000029af178701178571,1,CA,USF,PNF,SECOND,00000000,1,NA,1100,1130.29833984375,8,suppression,00000114,457.415532638115,0,36,1984,8,21,1984,8,22,1984-08-21,1984-08-22,1,4734900,3352500,0.006272571754419312,0.24914972328897259,0.02139871385179685,8.064575640880163,2.245004397973976,73.08515355759667,3.816004569982309,7.36878572926959,1464.7405436228853,0.29195970347842615,0.35734651206994866,0.34974339479186467,9.503896597605018e-4,870300,875700,854100,1800,0.07176517944203162,no,0,died_ia,326,3
0000a4fbf921f2b98856,1,CA,USF,PNF,NA,00000000,1,NA,94,71.0782241821289,8,suppression,00000134,28.7643353270055,0,412,1984,8,26,1984,8,28,1984-08-26,1984-08-28,2,325800,144900,0.9972375690607734,0.7097584486666305,0.03622903775562692,6.641417026519775,1.3044334650039673,79.78558349609375,3.0664730072021484,4.985401153564453,1530.3038674033148,0.5552486187845304,0.16298342541436464,0.16574585635359115,0.11602209944751381,172800,18e3,18e3,34200,0.024573076138581826,no,1,survived_ia,331,3
